title,subject
The Wild Toboggan Ride,"Tobogganing,Juvenile fiction,Fiction,Picture books,Sports,Accessible book,Protected DAISY"
The Very Greedy Bee,"Insects,Fiction,Bees,Behavior,Cooperativeness,Greed,Pollen,Sharing,Picture books,Juvenile fiction,Rivers,Streams,Night,Flowers,Meadows,Accessible book,Protected DAISY"
What Newt could do for Turtle,"Fiction,Turtles,Swamps,Newts,Friendship,Animals,Picture books,Children's literature,Accessible book,Protected DAISY"
A flower for Ambrose,"Elephants,Fiction,Picture books"
MR. BUMBA PLANTS A GARDEN,"Children's fiction,Picture books,Gardens, fiction,Accessible book,Protected DAISY"
Your world: let's take a bus trip,"Buses,Juvenile literature,Picture books"
Your world: let's go to the supermarket,"Juvenile literature,Pictorial works,Picture books,Supermarkets,Warships"
Your world: let's visit a ship,"Cargo ships,Juvenile literature,Picture books,Ships"
Pat-a-cake,"Nursery rhymes,Children's poetry,Picture books for children,Picture books,Accessible book,Protected DAISY"
Hey Diddle Diddle,"Nursery rhymes,Children's poetry,Picture books for children,Picture books"
Hickory dickory dock,"Nursery rhymes,Children's poetry,Picture books for children,Picture books,Accessible book,Protected DAISY"
Duck and his friends,"English literature: poetry texts & anthologies,Fiction,Picture books"
A cowboy can,"Cowboys,Picture books"
What does the sun do?,"Juvenile literature,Picture books"
"Drip, Drop","Reading level-Grade K,easy reader,juvenile literature,mice,picture books,Children's fiction,Accessible book,Protected DAISY"
The impossible patriotism project,"Fiction,Patriotism,Presidents' Day,Schools,President's Day,Picture books,Creativity,Juvenile fiction,Children of military personnel,Father-separated children,Boys,School projects,Soldiers,Holidays,Creativity in children,Accessible book,Protected DAISY"
Fletcher and the springtime blossoms,"Fiction,Flowers,Forest animals,Foxes,Spring,Juvenile fiction,Picture books,Children's fiction,Foxes, fiction,Animals, fiction,Flowers, fiction,Spring, fiction,Accessible book,Protected DAISY"
Sam helps out,"Picture books,Picture books for children"
Sam at the seaside,"Picture books,Picture books for children"
Ella Sarah gets dressed,"Individuality,Picture books,Caldecott honor book,Juvenile fiction,Fiction,Clothing and dress,Colors,Families,Family,Autonomy in children,Social Themes,Concepts,Individuality in children,Emotions & Feelings,Friendship,JUVENILE FICTION,Temper tantrums,Children's fiction,Clothing and dress, fiction,Individuality, fiction,Accessible book,Protected DAISY"
I Picked a Flower,"Flowers,Juvenile literature,Flowers, juvenile literature,Picture books"
Yum yum! What fun!,"Animals,Fiction,Cooks,Humorous stories,Brothers and sisters,Onomatopoeia,Food,Juvenile fiction,Zoo animals,Fear in children,Picture books,Humorous fiction,Sound words,Accessible book,Protected DAISY"
Where in the World?,"Art appreciation,Juvenile literature,Picture books,Art, juvenile literature,Accessible book,Protected DAISY"
Aggie the brave,"Veterinary medicine,Pictorial works,Children's stories,Juvenile fiction,Dogs,Spaying,Fiction,Children's fiction,Short stories,Dogs, fiction,Veterinary medicine, fiction,Picture books,Accessible book,Protected DAISY"
"Equal, shmequal","Equations,Fiction,Forest animals,Mathematics,Picture books,Bears,Juvenile fiction,Problem solving,Fairness,Children's fiction,Animals, fiction,Accessible book,Protected DAISY"
Studies in Aggadah and folk-literature,"Addresses, essays, lectures,Aggada,Folk literature,History and criticism,Jewish folk literature,Jews,Circus,Picture books,Aggadah,Histoire et critique,Littérature populaire juive,11.21 Jewish religious literature,Haggadah,Pictorial works"
We're riding on a caravan,"Juvenile literature,Description and travel,Children's stories, Chinese,Travel,Picture books,Accessible book,Protected DAISY"
Lighting a Lamp,"Picture books,Juvenile literature,Hinduism,Divali,Fasts and feasts,Customs and practices,Fiction,Children's fiction,Festivals, fiction,Holidays, fiction,Family, fiction,Accessible book,Protected DAISY"
Most loved in all the world,"African Americans,Fiction,Mother and child,Slavery,Mother and child -- Fiction,African American quilts,Picture books,Underground Railroad,Parental love,Juvenile fiction,Underground railroad,Slaves,Freedom,Quilts,Girl slaves,Slavery, fiction,Children's fiction,African americans, fiction,Accessible book,Protected DAISY"
Red Butterfly,"Fiction,Silkworms,Princesses,Juvenile fiction,Children's fiction,Princesses, fiction,Worms, fiction,China, fiction,Picture books"
Kai's Journey To Gold Mountain,"Chinese Americans,Juvenile fiction,Immigrants,Fiction,Emigration and immigration,History,Picture books,Historical fiction,Immigration and emigration,Accessible book,Protected DAISY"
Tightrope Poppy the High-Wire Pig,"Acrobats,Pigs,Juvenile Fiction,Circus,Fiction,Stories in rhyme,Determination (Personality trait),Picture books,Tightrope walking,Swine,Circus performers,Piglets,Determination in children,Juvenile fiction,Persistance,Trapeze and high-wire performers,Ambition,Accessible book,Protected DAISY"
Luna the Wake-up Cat,"Prepositions,Cats,Picture books,Juvenile fiction,Morning,English language,Fiction,Accessible book,Protected DAISY"
Shaun and the cart-horse,Picture books
Joseph's Yard,"Flowers,Picture books,Fiction"
"William, the Vehicle King","Picture books for children,Picture books"
A House for Hermit Crab,"Hermit crabs,Crabs,Marine animals,Fiction,Dwellings,Children's fiction,Crabs, fiction,Picture books,Accessible book,Protected DAISY"
To Bathe a Boa,"Fiction,Stories in rhyme,Snakes as pets,Boa constrictor,Baths,Picture books,Children's fiction,Snakes, fiction,Accessible book,Protected DAISY"
"Falter, Blumen, Tiere und ich","Animals,Garden animals,Gardens,Juvenile literature,Pictorial works,Children's fiction,Gardening, fiction,Picture books,Picture books for children"
The mysterious Zetabet,"Alphabet,Humorous stories,Juvenile fiction,picture books,chapter books,Accessible book,Protected DAISY"
The making of a picture book,"Picture books,Juvenile literature,Children's stories,Authorship,Picture books for children,Accessible book,Protected DAISY"
"Oh Lord, I wish I was a buzzard","Mississippi,Picture books,Juvenile fiction,Family life,Fiction,Cotton picking,African Americans,Accessible book,Protected DAISY"
A busy day,"Picture books,Vocabulary,Juvenile literature,Picture books for children,English language,Synonyms and antonyms,General,Children's 4-8,English fiction Children's stories,English language Reading books,Accessible book,Protected DAISY"
Robot Zot,"Humorous stories,Robots,Fiction,Juvenile fiction,Picture books,nyt:picture-books=2009-10-11,New York Times bestseller,Children's fiction,Robots, fiction,Accessible book,Protected DAISY"
I Am a Bunny,"Juvenile literature,Seasons,Rabbits,Picture books,Fiction,Accessible book,Protected DAISY"
Ben's Book,"Books and reading, fiction,Picture books,Children's fiction,Brothers and sisters, fiction,Birthdays, fiction,Sharing, fiction"
Face to face with frogs,"Frogs,Picture books,Children: Grades 1-2,Frogs, juvenile literature,Accessible book,Protected DAISY"
The alphabet tale,"Alphabet,Animals,Juvenile literature,English language,Juvenile fiction,Picture books,Fiction,Accessible book,Protected DAISY"
By Camel or by Car,"Juvenile literature,Transportation,Picture books,Children's fiction,Accessible book,Protected DAISY"
The Peaceable Kingdom,"Museums,Peace,Animals,Fiction,Artists, designers, photographers,Picture books,Preschool Picture Story Books,Children's Books/Ages 4-8 Fiction,Children: Grades 1-2,General,Hicks, Edward"
Scruffy,"Picture books,Fiction"
Vietnamese word book,"English,Textbooks for foreign speakers,Vietnamese language,Literary & linguistic reference works,Picture books,Children's Books/All Ages,Language,General,Children's All Ages"
"Little dog, dreaming","Dogs,Fiction,Picture books"
Danny Is Afraid of the Dark (Nigel Snell Books),"Picture books,Accessible book,Protected DAISY"
"Miki, the book of Maud and Miska Petersham",Picture books
"My Uncle Is a Hunkle, Says Clarice Bean","Clarice Bean (Fictitious character),Humorous stories,Families,Picture books,Uncles,Juvenile fiction,Fiction,Babysitters,Pictorial works,Accessible book,Protected DAISY"
Anansi and the moss-covered rock,"Legends,Folklore,Anansi (Legendary character),folktales,picture books,tricksters,african tales,juvenile literature,Folklore, africa,Folklore, africa, west,Accessible book,Protected DAISY"
Separate ways,"Translations into English,Fiction,Picture books,Children's Books/Ages 9-12 Nonfiction,Children's 9-12 - Picturebooks,Sociology,Asian - General,Liao, Fu-bin,Jimi,Fiction, general"
"Beans Baker, number five","Uniforms,Self-confidence,Picture books,Easy readers,Fiction,Baseball teams,Self-confidence in boys,Baseball,Baseball stories,Teamwork (Sports),Sports,Accessible book,Protected DAISY"
What is a grownup?,"Picture books,Poetry"
Crocodiles Say . . ,"Children's fiction,Crocodiles, fiction,Picture books"
Necklace of Stars,"Juvenile fiction,Juvenile literature,Indians of South America,Necklaces,Family,Livres d'images pour enfants,Geographical myths,JUVENILE FICTION / Fairy Tales & Folklore / Country & Ethnic,Mythes geographiques,Home,Romans, nouvelles, etc. pour la jeunesse,Picture books for children,Foyer,Children's fiction,Stars, fiction,Fantasy fiction,Picture books,Folklore,Accessible book,Protected DAISY"
Silly songs and sad,"Nonsense verses,Juvenile literature,Picture books"
Pear tree farm,"Picture books,Nursery rhymes"
In the Country,"Farm life, juvenile literature,Farm life,Children's fiction,Picture books"
The twelve cats of Christmas,"Songs and music,Children's songs,Texts,Cats,Christmas music,Songs,picture books,children's books,juvenile literature,Accessible book,Protected DAISY"
Made in China,"Picture books,Riddles,Juvenile literature,Children's stories, Chinese,Technology,Fiction,Pictorial works,Juvenile fiction,Accessible book,Protected DAISY"
Baby's first Christmas,"Christmas,Fiction,Board books,Picture books,On board pages,Accessible book,Protected DAISY"
Don't look now,"Fiction,Brothers,Cooperativeness in fiction,Cooperativeness,Brothers in fiction,Monsters in fiction,Imagination in fiction,Imagination,Monsters,Juvenile fiction,Competition in boys,Pretending,Mischief in boys,Sibling rivalry,Picture books,Accessible book,Protected DAISY"
Wow! City!,"Cities and towns,Juvenile fiction,City and town life,Fiction,Picture books,Children's fiction,Cities and towns, fiction,Juvenile literature"
Kitten castle,"Animals,Picture books,Infancy,Kittens,Fiction,Shapes,Shape,Cats,Juvenile fiction,Children's fiction,Cats, fiction,Animals, infancy, fiction,Accessible book,Protected DAISY"
Pumpkin Fever,"Families,Picture books,Juvenile fiction,Family life,Fiction,Shapes,Shape,Jack-o-lanterns,Pumpkin,Accessible book,Protected DAISY"
Surprises,"Picture books,Picture books for children,Children's poetry,Poetry, collections"
Math Fables,"Juvenile literature,Counting,Conduct of life,Math,Counting, juvenile literature,Counting books,Picture books,Accessible book,Protected DAISY"
The Big Concrete Lorry (Tales from Trotter Street),"Building,Concrete mixers,Machinery,Picture books,Community life,Dwellings,Fiction,Accessible book,Protected DAISY"
Through Georgia's eyes,"Biography,Juvenile literature,Painters,Picture books for children,Engelsk barn- och ungdomslitteratur,Biografi,Konstnarer,Artists,Women,Painters, united states,Painters, juvenile literature,Picture books,Accessible book,Protected DAISY"
Uncle Andy's cats,"Fiction,Cats,Children's fiction,Cats, fiction,Juvenile fiction,Royal canadian mounted police, fiction,Rescue work, fiction,Picture books,Canada, fiction,Accessible book,Protected DAISY"
Snack Attack (Pokemon Reader #7),"Science fiction,Fantasy,Pokemon (Fictitious characters),Pokémon (Fictitious character),Fiction,Pokémon (Fictitious characters),Juvenile fiction,Picture books,Accessible book,Protected DAISY"
What Colour Is Love?,"Children's fiction,Love, fiction,Color, fiction,Romance fiction,Picture books,Elephants,Juvenile fiction,Fiction,Colors,Love,Animals,Pictorial works,Accessible book,Protected DAISY"
Rising above the storm clouds,"Conduct of life,Fiction,Forgiveness,Brothers and sisters,Picture books,Children: Grades 1-2,Juvenile Nonfiction,Children's Books/Ages 4-8 Nonfiction,Social Issues - Friendship,Social Issues - Emotions & Feelings,Siblings,Accessible book,Protected DAISY"
The Hungry Farmer,"Juvenile fiction,Farmers,Picture books,Fiction,Accessible book,Protected DAISY"
Secrets and surprises,"Specimens,Toy and movable books,Fairy tales, folk tales, fables, magical tales & traditional stories,Picture books,Pop-up & lift-the-flap books,General,Children's 4-8 - Lift the Flap,Birthday parties,Birthdays,Fiction,Children: Grades 2-3"
Max Spaniel,"Fiction,Humorous stories,Dogs,Diners (Restaurants),Picture books,Humorous fiction,Juvenile fiction,Accessible book,Protected DAISY"
Food Safety,"Safety measures,Safety,Picture books,Food adulteration and inspection,Safety education,Food handling,Juvenile literature,Accessible book,Protected DAISY"
Animals,"Readers,Picture books,Animals,Children's All Ages - Animals/Pets"
"Finish the story, Dad","Jungle animals,Fiction,Books and reading,Bedtime,Dreams,Picture books,Dreams, fiction,Children's fiction,Jungle animals, fiction,Bedtime, fiction,Books and reading, fiction,Accessible book,Protected DAISY"
Talkabout shopping,"Readers,Picture books,Consumer Behavior - General,Children's All Ages - Business / Economics"
What a Dog,"Fiction,Picture books,Dogs,Accessible book,Protected DAISY"
Goldilocks and the three bears,"Bears,Folklore,Children's fiction,Fairy tales,Picture books,Bears, fiction,Three bears (Tale),Pictorial works,Juvenile fiction,Accessible book,Protected DAISY"
Muslim Nursery Rhymes,"Poetry,Children's poetry,Nursery rhymes,Picture books"
Picture Book Sans Frontières,"Picture books,Teaching,Aids and devices,Children's literature, European,Livres d'images pour enfants,Enseignement,Matériel didactique,Littérature de jeunesse européenne,Education, elementary,Accessible book,Protected DAISY"
"Mis Amigos, Los Animales (Talk Together)","Children's fiction,Animals, fiction,Friendship, fiction,Picture books"
Freckleface Strawberry and the dodgeball bully,"Bullies,Dodgeball,Fiction,Picture books,Bullying in schools,Juvenile fiction,Sports,nyt:picture-books=2009-05-24,New York Times bestseller,Accessible book,Protected DAISY"
Brian Banana Duck Sunshine Yellow,"Individuality,Nicknames,Grandparents,Juvenile fiction,Yellow,Boys,Identity,Identity (Psychology),Children's fiction,Ducks, fiction,Grandparents, fiction,Picture books,Accessible book,Protected DAISY"
Touch and Feel Farm Animals,"Animal sounds,Picture books,Toy and movable books,Textured books,Board books,Domestic animals,Accessible book,Protected DAISY"
Looking for Loons,"Children: Grades 1-2,Children's fiction,Loons, fiction,Picture books,Accessible book,Protected DAISY"
Princess Party,"Stories in rhyme,Princesses,Princesses in fiction,Fiction,Juvenile fiction,Picture books,Imagination,Accessible book,Protected DAISY"
In the Land of Elves,"Children's fiction,Fairies, fiction,Seasons, fiction,Picture books"
Dancing With the Cranes,"Indiens d'Amerique,Death,Grues (Oiseaux),Indians of North America,Spring,Juvenile fiction,Grands-meres,Grandmothers,Cranes (Birds),Livres d'images pour enfants,Mort,Printemps,Romans, nouvelles, etc. pour la jeunesse,Picture books for children,Children's fiction,Birds, fiction,Grandparents, fiction,Spring, fiction,Indians of north america, fiction,Picture books,Accessible book,Protected DAISY"
Little Miss Naughty and the Good Fairy,"Fairies,Juvenile fiction,Fiction,Behavior,Picture books"
Wanda and the Wild Hair,"Children's fiction,Short stories,Picture books,Hair,Juvenile fiction,Picture books for children,Cheveux,Romans, nouvelles, etc. pour la jeunesse,Livres d'images pour enfants"
Wanda and the Frogs,"Livres d'images pour enfants,Tadpoles,Pets,Frogs,Juvenile fiction,Fiction,Tetards,Grenouilles,Romans, nouvelles, etc. pour la jeunesse,Picture books for children,Tadpoles, fiction,Frogs, fiction,Children's fiction,Picture books,Accessible book,Protected DAISY"
Wow! said the owl,"Day in fiction,Color,Owls in fiction,Fiction,Owls,Night in fiction,Night,Color in fiction,Day,Picture books,Juvenile fiction,Colors,Children's fiction,Owls, fiction,Day, fiction,Night, fiction,Color, fiction,Accessible book,Protected DAISY"
As Big As a Mountain,"Children's fiction,Size and shape, fiction,Picture books"
Music in the Family,"Music,Picture books,Family,Fiction,Accessible book,Protected DAISY"
Splash & Squirt,"Children's fiction,Marine animals, juvenile literature,Seashore, fiction,Picture books"
My Mum Is a Wonder,"Children's fiction,Mothers, fiction,Picture books"
Beachmoles and Bellvine (Blue Nose Island),"Dogs, fiction,Picture books,Children's fiction,Accessible book,Protected DAISY"
The Christmas Star's Big Shine,"Christmas,Children's fiction,Picture books,Christian life, fiction"
Edward Lear's ABC,"Alphabet,Juvenile literature,English language,Picture books,Alphabet books,Accessible book,Protected DAISY"
Over in the ocean,"Children's songs,Picture books,Sea stories,Fishes,Songs and music,Children's fiction,Fishes, fiction,Counting books"
Read About Ancient Egyptians,"mummies,Egyptian culture,Pyramids,Egyptians,juvenile literature,picture books,Children: Grades 1-2,Civilization,Juvenile literature,Accessible book,Protected DAISY"
Toys,"Fiction,Picture books,Toymaking - General,Crafts / Hobbies,Toys,Accessible book,Protected DAISY"
Tough chicks,"Individuality,Animals,Infancy,Chickens,Domestic animals,Fiction,Self-confidence,Farm life,Picture books,Juvenile fiction,Children's fiction,Individuality, fiction,Self-confidence, fiction,Chickens, fiction,Animals, infancy, fiction,Domestic animals, fiction,Farm life, fiction,Accessible book,Protected DAISY"
Down at the Seaweed Cafe,"Livres d'images pour enfants,Art de conter,Picture books,Storytelling,Juvenile fiction,Marine animals,Seashore,Rivage,Romans, nouvelles, etc. pour la jeunesse,Picture books for children,Faune marine,Accessible book,Protected DAISY"
With Love from Grandma,"Knitting,Juvenile fiction,Grandmothers,Fiction,Grandmothers in fiction,Knitting in fiction,Picture books,Accessible book,Protected DAISY"
Give thank you a try,"Gratitude,Fiction,Children's fiction,Manners and customs, fiction,Courtesy,Psychology, juvenile literature,Picture books"
Meteorite or meteor-wrong!,"Meteorites,School field trips,Rats,Juvenile fiction,Graphic novels,Science museums,Hedgehogs,Children's fiction,Picture books,Rats, fiction,Mystery and detective stories,Museums, fiction,Hedgehogs, fiction,Cartoons and comics"
Rumble grumble ... hush,"Imagination,Play,Fiction,Stories in rhyme,Toys,Children's fiction,Picture books"
Shaka rising,"Zulu (African people),Kings and rulers,Comic books, strips,History,Children's fiction,Picture books,Cartoons and comics"
Water,"Water,Climatology,Juvenile literature,Ocean,Water, juvenile literature,Picture books"
Albert's tree,"Compassion,Crying,Bears,Juvenile fiction,Trees,Fiction,Children's fiction,Picture books,Accessible book,Protected DAISY"
"Happy Easter, Tiny!","Juvenile fiction,Easter eggs hunts,Easter Bunny,Dogs,Children's fiction,Picture books"
My bed is an air balloon,"Imagination,Juvenile fiction,Bedtime,Dreams,Stories in rhyme,Children's fiction,Picture books"
Storm,"Patience,Grandfathers,Kites,Grandparent and child,Juvenile fiction,Storms,Children's fiction,Picture books,Storms, fiction"
Once upon a snowstorm,"Animals,Sleep,Juvenile fiction,Father and child,Friendship,Snow,Fiction,Children's fiction,Fathers and sons, fiction,Picture books,Storms, fiction"
Dad's camera,"Photographs,Grief,Memory,Juvenile fiction,Father and child,Alzheimer's disease,Children's fiction,Picture books,Alzheimer's disease, fiction,Grief, fiction,Father and child, fiction"
What do grown-ups do all day?,"Job descriptions,Juvenile literature,Vocational guidance,Careers,Occupations,Occupations, juvenile literature,Picture books"
Take your octopus to school day,"Show-and-tell presentations,Octopuses,Schools,Juvenile fiction,Competition (Psychology),Fiction,Children's fiction,Picture books,Octopuses, fiction"
Recordmania,"Curiosities and wonders,Juvenile literature,Curiosities and wonders, juvenile literature,Picture books"
Little Christmas tree,"Stories in rhyme,Forest animals,Forests and forestry,Christmas trees,Board books,Fiction,Children's fiction,Christmas, fiction,Picture books,Color, fiction,Toy and movable books"
Holiday Heroes save Christmas,"Leprechauns,Tooth Fairy (Legendary character),Juvenile fiction,Fiction,Easter Bunny,Witches,Heroes,Christmas,Santa Claus,Children's fiction,Picture books"
A dog called bear,"Fiction,Dogs,Pets,Pictorial works,Children's fiction,Picture books,Accessible book,Protected DAISY"
Crazy Creature Capers (Crazy Creatures),"Picture books,Children's fiction,Adventure and adventurers, fiction"
"My little pony, friendship is magic","Ponies,Friendship,Comic books, strips,Children's fiction,Ponies, fiction,Magic, fiction,Friendship, fiction,Cartoons and comics,Picture books,Accessible book,Protected DAISY"
Walking in a winter wonderland,"Juvenile fiction,Play,Winter,English Songs,Children's fiction,Winter, fiction,Picture books"
The Flintstones,"Cave dwellers,Fiction,Humorous stories,Flintstones (Fictitious characters),Prehistoric peoples,Picture books,Accessible book,Protected DAISY"
Marigold's Wings,"Butterflies,Metamorphosis,Juvenile fiction,Pictorial works,Monarch butterfly,Caterpillars,Picture books,Insects,Fiction,Accessible book,Protected DAISY"
Sheep in a jeep,"Sheep,Stories in rhyme,Fiction,Juvenile fiction,Children's Books/Baby-Preschool,picture books,juvenile literature,Accessible book,Protected DAISY"
Sindbad's Secret,"Children's fiction,Giants, fiction,Adventure and adventurers, fiction,Picture books,Fantasy fiction,Sindbad the Sailor (Legendary character),Juvenile literature,Arabs,Folklore"
Sindbad in the land of giants,"Folklore,Arabs,Fairy tales,Children's fiction,Picture books,Fantasy fiction"
Super slam turtles!,"Picture books,Turtles,Martial arts fiction,Fiction,Adventure fiction,Teenage Mutant Ninja Turtles (Fictitious charcacters),Superheroes,Adventure and adventurers,Accessible book,Protected DAISY"
Big Red Bath,"Stories in rhyme,Baths,Animals,Fiction,Child and youth fiction,Picture books,Children's fiction,Accessible book,Protected DAISY"
Hattie Rabbit,"Fiction,Rabbits,Short stories,Easy readers,Picture books,Mothers,Accessible book,Protected DAISY"
Canadian Fire Fighters (In My Neighbourhood),"Fire fighters,Fire extinction,Fire prevention,Picture books,Braille books,Accessible book,Protected DAISY"
Little Red Riding Hood,"Little Red Riding Hood (Tale),Pictorial works,Juvenile fiction,Fairy tales,Folklore,Children's stories,Picture books,Accessible book,Protected DAISY"
Hebrew,"Hebrew,Modern languages (ie other than English),Picture books"
Matthew and Tall Rabbit go camping,"Rabbits,Picture Books,Camping,Fiction,Toys,Fear,Juvenile fiction,Children's fiction,Camping, fiction,Fear, fiction,Rabbits, fiction,Toys, fiction,Accessible book,Protected DAISY"
The duke who outlawed jelly beans,"Fairy tales,Gay parents,Children's stories, American,Juvenile fiction,Short stories,Fiction,Picture books,LGBTQ picture books,Lambda Literary Awards,Lambda Literary Award Winner,Accessible book,Protected DAISY"
My messy room,"Stories in rhyme,Orderliness,Fiction,Juvenile fiction,Housekeeping,Animals,Picture books,Literary recreations,Accessible book,Protected DAISY"
Here and there,"Fiction,Grandmothers,Juvenile fiction,Picture books for children,Picture books,Children's fiction,Short stories,Family, fiction,New england, fiction,Africa, fiction,Accessible book,Protected DAISY"
The Cheerios counting book,"Counting,Juvenile literature,Arithmetic,Picture books,Accessible book,Protected DAISY"
Animals (Picture Reference),"Animals,Juvenile literature,Animals, juvenile literature,Picture books"
Dave Loves Pigs,"Children's fiction,Picture books"
My Animal Friends (Talk Together),"Animals, juvenile literature,Animals,Picture books for children,Picture books"
"One, Two, Red and Blue (Talk Together)","Juvenile fiction,Vocabulary,Toy and movable books,Picture books for children,Picture books,Accessible book,Protected DAISY"
"Hey, wait for me! I'm Amelia","Picture books,City and town life,Fiction"
Creating picturebooks,"Publishing,Employees,Intervies,Picture books,Book industries and trade,Interviews,Accessible book,Protected DAISY"
Mum can fix it,"Automobiles,Black Families,Families, Black,Readers (Primary),Study and teaching (Primary),Time,Tires,Picture books,People & Places - General,Children's 4-8 - Fiction - General,Clocks and watches,Fiction,Tires, Rubber,African Americans,National Black Family Month,Accessible book,Protected DAISY"
"Jakob, der Storch","Storks,Juvenile fiction,Fiction,Picture books for children,Picture books,Children's fiction,Storks, fiction,Accessible book,Protected DAISY"
Tracks,"Fiction,Eyeglasses,Railroads,Juvenile fiction,Picture books,Railroad stories,Accessible book,Protected DAISY"
"Bad dog, Andy","Parodies, imitations,Humor,Dogs,Humour,Picture books,Form - Parodies,Day, Alexandra.,Parodies, imitations, etc,Dogs - Breeds,General,Day, Alexandra,Good dog, Carl,Form - Cartoons & Comics"
Oscar's Spots,"Fiction,Self-acceptance,Leopard,Magic,Leopard-Fiction,Self,Acceptance,Self-acceptance-Fiction,Self-perception,juvenile literature,picture books,Accessible book,Protected DAISY"
Fergus's upside-down day,"Fiction,Domestic animals,Farm life,Dogs,Picture books,Easy reading material,Juvenile fiction,Accessible book,Protected DAISY"
"Mouse, Mole and the falling star","Fiction,Friendship,Stars,Juvenile fiction,Moles (Animals),Mice,Picture books,Accessible book,Protected DAISY"
Amos and the moon,Picture books
Mouse Cookies & More,"Moose,Picture books,Juvenile fiction,Fiction,Pigs,Mice,Cooking, fiction,Mice, fiction,Children's fiction,Accessible book,Protected DAISY"
The hoppameleon,"Resemblance (Philosophy),Animals,Frogs,Juvenile fiction,Fiction,Identity (Philosophical concept),Friendship,Identity,Children's fiction,Frogs, fiction,Picture books,Accessible book,Protected DAISY"
Zoom,"Children's fiction,Perception, fiction,Picture books"
Animals on Board,"Children's fiction,Animals, fiction,Picture books"
Mary Margaret's tree,"Juvenile fiction,Nature,Trees,Fiction,Nature stories,Picture books,Accessible book,Protected DAISY"
This Room Is Mine,"Fiction,Picture books,Brothers and sisters,Accessible book,Protected DAISY"
Born yesterday,"Humorous stories,Diaries,Fiction,Babies,Infants,Juvenile fiction,Picture books,Accessible book,Protected DAISY"
The Animal Kingdom,"Juvenile literature,Habitat (Ecology),Animals,Picture books,Picture books for children"
Henry hikes to Fitchburg,"Juvenile fiction,Fiction,Bears,Nature,Walking,Picture books,Seasons and nature,Nature stories,Children's fiction,Natural history, fiction,Bears, fiction"
The First Easter,"Juvenile literature,non-fiction,picture books,Easter,Christian,holidays,Crucifixion,religious,religion,faith,Good Friday,Children: Grades 1-2,Jesus christ, biography,Jesus christ, passion,Jesus christ, resurrection,Easter, juvenile literature,Biography,Passion,Resurrection,Jesus christ,Jesus christ, juvenile literature,Accessible book,Protected DAISY"
Abc-- ein Sechsundzwanzigbuchstabenbuch,"Alphabet,Alphabet books,Artists' books,German language materials,Pictorial works,Picture books,Picture books for children,Polyglot Picture dictionaries"
My Pretty Ballerina,"Juvenile fiction,Ballet dance,Picture books,Accessible book,Protected DAISY"
Little Miss Chatterbox,"Juvenile fiction,Children's stories, English,Picture books,Listening,Occupations,Children's fiction,Behavior, fiction,Occupations, fiction,Humorous stories,Accessible book,Protected DAISY"
Walt Disney's Peter Pan,"Children's stories,Fantasy,Peter Pan (Fictitious character),Fiction,Picture books,Accessible book,Protected DAISY"
A country wedding,"Weddings,Fiction,Animals,Picture books,Accessible book,Protected DAISY"
Where is Percy's dinner?,"Children's stories, English,Picture books for children,Picture books,Fiction"
In the Woods,"Forest animals,Animals,Picture books,Fiction,Autumn,Habits and behavior,Juvenile literature,Accessible book,Protected DAISY"
The numbers,"Counting,Fiction,Mice,Stories without words,Picture books,Numeration, juvenile literature,Number concept"
The plane,"Mice,Airplanes,Stories without words,Fiction,Picture books,Children: Preschool,Children's Books/Baby-Preschool,Transportation - Airplanes,Animals - Mice  Hamsters  Guinea Pigs  etc.,Transportation - Aviation,Children's Books / Fiction,Children's fiction,Mice, fiction"
The boat,"Boats and boating,Mice,Stories without words,Fiction,Picture books,Children: Grades 1-2,Children's Books/Baby-Preschool,Transportation - Boats/Underwater,Animals - Mice  Hamsters  Guinea Pigs  etc.,Transportation - Boats, Ships, & Underwater Craft,Children's Books / Fiction,Juvenile Fiction / General,Children's fiction,Mice, fiction"
A shepherd's gift,"Fiction,Nativity,Shepherds,Juvenile fiction,Orphans,Spanish language materials,Nativity of Jesus Christ,Picture books,Accessible book,Protected DAISY"
Heavy is a hippopotamus,"Weights and measures,Juvenile literature,Weight (Physics),Picture books,Fiction,Accessible book,Protected DAISY"
Count Milkula,"Children's fiction,Family life, fiction,Jealousy, fiction,Picture books"
Mr Chicken Lands on London,"Child and youth fiction,Children's fiction,London (england), fiction,Picture books"
Down by the Station (Die Cut Reading),"Nursery rhymes,Children's poetry,Picture books"
Little Miss Birthday,"Children's stories,English,Little Miss Series,Mr Men Series,Picture Book,Humorous fiction,Humorous stories,Fiction,Picture books,JUVENILE FICTION / Humorous Stories,Juvenile fiction,Birthdays,JUVENILE FICTION / Social Themes / Manners & Etiquette,Friendship,Pictorial works,Children's fiction,Birthdays, fiction,Accessible book,Protected DAISY"
Hungry Hyena,"Wildlife,Animals,Picture books,Juvenile fiction,Jungle animals,Fiction,Tricks,African fish eagle,Hyenas,Greed,Accessible book,Protected DAISY"
Lucy's day trip,"Fiction,Cousins,Interracial marriage,Beaches,Blacks,Picture books for children,Picture books,Juvenile fiction,Pictorial works,Accessible book,Protected DAISY"
"It rains, it shines","Rain and rainfall,Picture books,Juvenile fiction,Fiction"
